Field of study,University
Materials Science and Engineering,MIT
Mechanical Engineering,MIT
,
Biological Engineering,MIT
Journalism and History,Boston University
"Information Systems, Management",MIT
Mechanical Engineering,MIT
Electrical Engineering and Computer Science (6-2),MIT
,
Physics,MIT
Design Engineering,Harvard
Geophysics,MIT
Mechanical Engineering,Harvard
Chemical Engineering,MIT
Mathematics and Computer Science,MIT
Chemical-Biological Engineering/Biomedical Engineering,MIT
Mechanical Engineering - 2A,MIT
"Biological Sciences, Public Health",Harvard T.H. Chan School of Public Health
mathematics,MIT
,
Nuclear Science and Engineering,MIT
Aerospace Engineering,MIT
Chemical Engineering,Caltech
Integrated Design and Management,MIT
Computer Science and Engineering,MIT
Computer Science and Engineering,MIT
Electrical Engineering and Computer Science,MIT
Management Science and Engineering,Columbia University
2A-PD: Mechanical Engineering with a concentration in Product Development,MIT
International Relations,Harvard University
Computational Biophysics/Theoretical Chemistry,MIT
Social and Engineering Systems PhD,MIT
Mechanical Engineering and Computer Science,MIT
Mechanical Engineering and Computer Science ( Course 2A),MIT
Computer Science,MIT
,
Urban Planning and Computer Science,MIT
Microbiology,MIT
Electrical Engineering,MIT
Computer Science / System Design and Management,MIT
,
Aerospace Engineering,MIT
Chemical Engineering,MIT
Biological Engineering,MIT
Biomedical Engineering,MIT
Physics,Caltech
Computer Science,MIT
Mechanical Engineering,MIT
Electrical Engineering and Computer Science,MIT
bioengineering / aerospace engineering,MIT
Aeronautics and Astronautics,MIT
"Computer Science, Economics, and Data Science",MIT
Caltech - Chemical Engineering,Caltech
Computer Science and Engineering,MIT
,
,
,
"Mathematics, Economics, Finance",University of Massachusetts - Amherst
Mathematics,Caltech
"MS in Applied Physics, BS in Physics & Chemistry",Yale University
,
Computer Science and Engineering,MIT
"International Relations, Political Science (double major))",Boston University
Data Science,University of Washington
Mechanical Engineering,University of Maryland: College Park
"Systems Biology, Computational Biology, Applied Mathematics, Image Analysis, Live-cell imaging",Harvard University
Mathematics,Pomona College
Supply Chain Management,MIT
Information Systems,University of Texas at Arlington
Computer Science and Engineering,MIT
Supply Chain Management,MIT
Chemical Engineering,MIT
Mechanical Engineering,MIT
Energy systems,Northeastern University
Computer Science,University of Massachusetts Amherst
Mathematics and Computer Science,MIT
Biotechnology,MIT
,
Physics,MIT
SCM,MIT
Synthetic Biology,MIT
Computation and Cognition,MIT
BS Computer Science & Financial Engineering + MS Statistics and Data Analytics,Washington University St. Louis
"Computer Science, Mathematical Data Science",Dartmouth College
Material Science,California Institute of Technology (Caltech)
Electrical Engineering and Computer science,MIT
Business Management,MIT
Undecided,MIT
Integrated Design and Management,MIT
Biomaterials Engineering,MIT
Marketing Analytics,MIT
Civil and Environmental Engineering,MIT
6-2,MIT
Civil Engineering,Manhattan College
Computer Science and Engineering,MIT
Data Science,Northeastern University
,
Master of Finance,MIT
"Caltech - Biological Engineering, USC - Applied Physics",Caltech
,
Chemical Engineering,University of Massachusetts Amherst
Supply Chain Management,MIT
Global Policy,NYU Wagner
,
Mechanical engineering,MIT
Chemical Engineering with Biology,MIT
Computer Science and Engineering (6-3),MIT
,
Electrical Engineering & Computer Science,MIT
Applied Mathematics,Brown University
Mechanical Engineering,MIT
,
Undecided,MIT
Mathematics,MIT
Electrical Engineering and Computer Science,MIT
Computer Science,MIT
Chemical Engineering,MIT
Information & Data Science,Caltech
Computer Science/Comparative Media Studies,MIT
"MIT Electrical Engineering and Computer Science, MITx Data, Economics, Development Policy, MIT Sloan Healthcare Systems",MIT
Philosophy and Math,Harvard
Data Science,UW
3A,MIT
International Studies,Emmanuel College
Chemical Engineering,MIT
Supply Chain Management,MIT
Chemical Engineering,MIT
Applied Physics,Stanford University
Physics,MIT
Biology,MIT
Electrical Engineering and Computer Science,MIT
Mechanical Engineering,MIT
Chemistry,MIT
Mechanical Engineering,MIT
,
"Biomedical Engineering, Medical Devices, Neural Engineering, Microfluidics, MEMS",Harvard University
Applied Mathematics & Biology,Harvard
Mechanical-Robotics,University of Colorado at Boulder
Entrepreneurial Leadership,Babson
Mechanical Engineering and Computer Science,MIT
Mechanical Engineering,MIT
Computer science,MIT
,
Mathematics (18),MIT
Mechanical Engineering- Concentration in Industrial Design,MIT
Computation and Cognition,MIT
,
Mechanical Engineering with Robotics,MIT
Aeronautics & Astronautics,MIT
,
Design Studies,Harvard University
Human-Computer Interaction,MIT
mechanical engineering with a focus in computer science,MIT
Mechanical Engineering,California Institute of Technology
16-ENG : Aerospace Engineering concentrating in Autonomous Systems,MIT
,
,
Computer Science and Engineering,MIT
Mechanical Engineering,MIT
Mechanical Engineering,California Institute of Technology
Electrical Engineering and Computer Science,MIT
Architecture,MIT
Mechanical Engineering with Robotics,MIT
"6-2: Electrical Engineering & Computer Science; Minor: MechE, Design",MIT
6-2: Electrical Engineering and Computer Science,MIT
Mechanical Engineering,MIT
Computer Science,MIT
Computer Science,MIT
Aerospace Engineering,MIT
Design and Computer Science,MIT
Physics,MIT
MaDE - Manufacturing and Design Engineering,Northwestern
Chemical Engineering,MIT
BME - Biomedical Engineering,Northwestern University
Technology and Policy,MIT
"Computer Science (Algorithms, Computer Vision, Embedded Systems, Data Structures and Functional Programming, Discrete Structures, Computational Linguistics, Object-Oriented Design and Data Structures – Honors, Linear Algebra, Multivariable Calculus, Linguistics, Financial Accounting)",Cornell University
Computer Science,Boston University
Mechanical Engineering,MIT
Masters of Business Administration,MIT
Materials Science and Engineering,MIT
Applied Mathematics,Yale
Mechanical Engineering,Yale University
Mechanical Engineering,Yale University
Electrical Engineering,Yale University
Mechanical Engineering,Yale University
ME - Mechanical Engineering,Northwestern University
Applied Physics,Yale
Biomedical Engineering,Yale University
Mechanical Engineering,Harvard University
I plan to double major in Computer Science and History,Yale University
Electrical Engineering,Yale University
Supply Chain Management,MIT
Materials Science,Harvard
architectural technology,Harvard University
Mechanical Engineer,NYU
Aerospace Engineering,MIT
Computer Science and Psychology,MIT
Materials Science and Engineering,MIT
Biomedical Engineering,Boston University
Master in Supply Chain Management,MIT
18 (Mathematics),MIT
Biomedical Engineering,Yale University
Mechanical Engineering,MIT
Materials Science and Engineering,MIT
,
"Applied Economics & Management, Computer & Information Sciences",Cornell University
Business Administration,Florida International University
"Chemistry, Polymer, Materials Science",MIT
Architecture,MIT
Civil & Environmental Engineering - Systems Track,MIT
,
Environmental Analytical Chemistry,MIT
Materials Science and Engineering,MIT
Aerospace Engineering,MIT
Mechanical Engineering,MIT
Physics; Computer Science,MIT
AeroAstro,MIT
Experimental High Energy Particle Physics,MIT
Mechanical Engineering,MIT
Mechanical Engineering,Yale University
Information Science,Columbia University
Mechanical Engineering and Biomedical Engineering,Tufts University
Public Policy,Trinity College
Mechanical Engineering,Boston University
Mechanical Engineering,"University of California, Irvine"
EECS,MIT
Materials Science and Engineering,MIT
Materials Engineering,MIT
,
Mechanical Engineering,Harvard
Math with a secondary in CS,Harvard
Physics and Mathematics,Harvard
Computer Science,Harvard
Bioengineering,Harvard University
Electrical and Computer Engineering,Olin College
Management,BU
Mechanical Engineering,Harvard
Astronomy & Astrophysics,Harvard University
Biomedical Engineering,Tufts University
Mechanical Engineering,MIT
Masters in Design Engineering,Harvard
Computer Science,Yale
,
Mechanical Engineering,University of Maryland
Computer Science,Harvard
MS Engineering Sciences/MBA (Deferred),Harvard
MDes Energy and Environment,Harvard University
Mechanical Engineering,Harvard
Chemical and Biological Engineering,Tufts University
,
Robotics + Philosophy,Harvard
Biomedical Engineering,BU
Mechanical Engineering and Applied Physics,Harvard
,
Robotics Engineering,Olin College of Engineering
Organizational Change and Design,Northwestern University
Computer Engineering,University of Illinois at Chicago
Mechanical Engineering,Boston University
Biomedical Engineering,Boston University
Computer Science,Harvard
Electrical Engineering,Boston University
Biomedical Engineering,Boston University
Electrical Engineering,Boston University
"Artificial Intelligence, Computer Science",Boston University
Computer Science,Boston University
,
"Biomedical Engineering, Technology Innovation",Boston University
Electrical and Computer Engineering,Olin College
Mathematics and Architecture,Harvard
Electrical and Computer Engineering,Olin College
Innovation and Management,Tufts University
Electrical and Computer Engieering,Olin College of Engineering
,
Biomedical Engineering,Boston University
Mechanical Engineering,Yale University
chemistry,Harvard
General Engineering with focus in Mechatronics,Olin College
,
Physics,Harvard University
,
Biomedical Engineering,Boston University
,
Engineering Sciences (Mechanical),Yale University
Mechanical Engineering,Harvard
Electrical and Computer Engineering,BU
"Mechanical Engineering, Urban Policy & Planning",Boston University
,
"Engineering Sciences, Bioengineering B.S. Electrical Track",Harvard College
Undeclared,Harvard
Computer Science,BU
Mechanical Engineering,Georgia Tech
Chemical Engineering,Tufts University
Biomedical Sciences and Engineering,Harvard
Software Development,Boston University
Computer Science,Boston University
Biomedical Engineering,Boston University
Biomedical Engineering,Boston University
Electrical Engineering,Harvard
Electrical Engineering,Tufts University
MBA,Boston University
Applied Physics,Harvard
,
Applied Economics and Management,Cornell University
,
,
Applied Math-Biology,Brown University
,
"Banking, Real Estate, and Fintech",Cornell
,
Computer Science and Engineering,MIT
Electrical Engineering and Computer Science,MIT
Business administration,Babson college
,
,
,
"Finance, Business Analytics",MIT
,
,
Materials Science and Engineering,University of North Texas
Physics,MIT
Supply Chain Management,MIT
Computation and Cognition,MIT
MBA/MS Engineering,MIT
Graphic Arts,STEVENS HENAGERS UNIVERSITY
,
"Master of Public Health (Epidemiology), Bachelor of Arts (Biology specializing in Cellular Biology, Molecular Biology, and Genetics)",Boston University
,
Supply Chain Management,MIT
Electrical Engineering,Columbia University
Economics,MIT
Mechanical Engineering,Montana State University
"Machine Learning, Bayesian Inference, Neuroscience, Biology, E-commerce","Brandeis University, Tripadvisor"
Mechanical Engineering,Boston University
Supply Chain Management,MIT
Mechanical Engineering,University of Massachusetts Amherst
Biochemistry and Biophysics,Amherst College
Materials Science and Engineering,UMCP
Material Science and Engineering,University of Illinois at Urbana Champaign
"Applied mathematics, high performance computing, mechanical engineering",MIT
"French, International Relations (Concentration- International Security)",Tufts University
Environmental Policy & Psychology,Tufts
Quantitative Methods in Biodiversity Conservation & Epidemiology,University of Glasgow (residence: USA)
System Design and Management,MIT
,
,
Industrial Engineering,UMass Amherst
Business Administration,NYU Stern.
,
"Physics, Computer Science, Math",Harvard
Finance,MIT
Chemical and Biomolecular Engineering,Johns Hopkins university
Economics,Wellesley College
Aerospace Engineering ; Technology and Policy,MIT
Physics,MIT
Computer Science,Brandeis University
Physics,MIT
Computer Science,MIT
Biostatistics,Boston University
,
,
Computer Science,Carinthia University of Applied Sciences
Media Arts and Sciences,MIT
Economics,MIT
,
,
,
,
,
,
,
,
Cognitive Science and Anthropology modified with Global Health,Dartmouth College
MBA,American University
,
,
,
,
,
Interdisciplinary Sciences,ETH Zurich
Computer Science and Biology(6-7),MIT
Materials Engineering and Applied Math,Brown University
,
,
,
Urban Planning,MIT
System Design and Management,MIT
Media Arts and Sciences,MIT
,
,
,
,
,
Brain and Cognitive Sciences,MIT
,
"Mechanical Engineering, Spanish, Sustainability",UMD
Physics,Brandeis University
,
Physics,MIT
,
BUISNESS,MIT
,
Mechanical Engineering and Electromechanical Engineering,California Institute of Technology
Master of Public Health,Brown University
,
,
Physics,MIT
Computer Science,MIT
Project Management,Northeastern University
Physics,MIT
MIT Sloan Business Digital Strategy,MIT
Electrical Engineering,MIT
,
,
,
"Biochemistry, Genomics, Proteomics, Physiology","Brigham and Women´s Hospital, Harvard Medical School, Masaryk University"
Computer Science & Engineering,MIT
Physiology,BIDMC
Chemistry,Wellesley
Doctoral: Electrical Engineering and Computer Science: (Soft) Robotics and AI; Undergrad: Mechanical Engineering: Computational Mechanics,MIT
,
Business Economics,Brown University
"Aerospace engineering, Earth Sciences",MIT
MBA,MIT
,
"Master of Science. Program in Geobiology, Geochemistry and Geology",MIT
MBA,MIT
Film and Media Art,Emerson College
Political science,MIT
Genomics,Harvard
Management Science,OSU
Urban Studies and Planning,MIT
Physics and Computer Science,MIT
Electrical Engineering,MIT
"Public and International Affairs, and Political Science",City University of New York Baruch College
Applied Mathematics - Course 18,MIT
Electrical Engineering and Computer Science,MIT
,
Executive MBA,MIT
Telecommunications,MIT
,
Sloan Fellow MBA,MIT Sloan School of Management
Electrical Engineering and Computer Science,MIT
Art History and Christianity,NYU
Information Technology,UMass Boston
"Architecture (BS), Engineering Systems (MS), Management (MBA)",MIT
,
Computer Science,MIT
,
Computer Science,MIT
"EECS, Physics",MIT
Management of Technology,MIT
CS,Stanford
System Engineering,George Washington University
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
MBA,MIT Sloan
Medicine,Harvard
MBA,MIT
,
,
EECS,MIT
"biotechnology, chemistry, microfluidics, DNA sequencing, molecular biology, single-cell analysis, bioinformatic",Broad Institute of MIT and Harvard
Cancer Precision Medicine,"Harvard Medical School, Dana-Farber Cancer Institute"
,
"12 Earth, Atmospheric and Planetary Sciences | 8 Physics",MIT
,
Electrical Engineering and Computer Science,MIT
"Biotechnology, Business",Brandeis University
"Computer Science, Environmental Studies, and Urban Studies",Tufts University
,
MS Integrated Design & Management,MIT
Integrated Design and Management,MIT
,
,
Computer Science,Brandeis University
Electrical Engineering and Computer Science,MIT
Molecular and Cell Biology,Brandeis University
Physics /Climate Science,MIT
"Brain and Cognitive Sciences, Comparative Media Studies",MIT
Publishing and Writing,Emerson College
Planetary Science and Astronomy,MIT
Computational linguistics,Brandeis
Computer Science,Brandeis University
Mass communication and Journalism,Gujarat University
AeroAstro,MIT
AeroAstro,MIT
Interactive Telecommunications Program,NYU
Biomedical Informatics,NYU
,
,
International Business Management,Monroe College
MBA,MIT
Computer Science and Engineering,MIT
"Design, Culture, Media, Communication, Business, Advertising, Film, Beauty Industry, Luxury, Fashion, Museum, Art",Harvard
CIS,Bmcc
Mechanical Engineering and Computing,MIT
Biology,Brandeis University
,
Mechanical Engineering and Computation,MIT
,
,
AeroAstro,MIT
,
"Biology, Media Arts and Sciences",MIT
Architecture,MIT
Computer Science,Brandeis
Mechanical Engineering,Politecnico di Milano
